proj_id,proj_name,pdo,region,country_code,country_name,proj_approval_fy,asa_approval_date,task_type,proj_url,product_line_type,lending_instrument,lead_gp,ttl,agreement_type,commitment_amount,ida_cycle_approval,proj_status,product_line_name,contrib_gp,theme
P172492,Accountable Governance for Basic Service Delivery,"The PDO is to improve resource management, transparency and accountability of government systems for enabling the delivery of local development projects and basic services.",Western and Central Africa,SLE,Republic of Sierra Leone,2021,NA,NA,https://opswork.worldbank.org/home/P172492,Lending Product,IPF,GOV,Raymond Muhula (ADM),IDA,40000000,Pre-IDA21,NA,NA,NA,Environmental and Social
P501226,Improving Public Financial Management to Support Service Delivery in Togo,NA,Western and Central Africa,TGO,Republic of Togo,2024,2023-12-01T00:00:00Z,Analytical,https://opswork.worldbank.org/home/P501226,Analytic and Advisory Activities Product,NA,GOV,Ibrahim El ghandour (ADM),NA,NA,Pre-IDA21,NA,NA,NA,Environmental and Social
P176883,Togo Public Sector Strengthening for Service Delivery Operation,The PforR development objective is to enhance human resource and public expenditure management.,Western and Central Africa,TGO,Republic of Togo,2024,NA,NA,https://opswork.worldbank.org/home/P176883,Lending Product,PforR,GOV,Ibrahim El ghandour (ADM),IDA,65000000,Pre-IDA21,NA,NA,NA,Environmental and Social
P176396,Burundi Digital Foundations Project,"To increase broadband internet access, especially to underserved communities, and improve government?s capacity to manage resources more effectively and deliver public services digitally.",Eastern and Southern Africa,BDI,Republic of Burundi,2022,NA,NA,https://opswork.worldbank.org/home/P176396,Lending Product,IPF,DDT,Moctar Ben Karidjo Mahamadou (ADM),IDA,50000000,NA,Active,IBRD/IDA,EDU FCI GOV,Environmental and Social
P513144,Cote d'Ivoire Public Resource Management for Jobs and Growth,To increase domestic revenues and improve efficiency in public expenditure management in Cote d'Ivoire.,Western and Central Africa,CIV,Republic of Cote d'Ivoire,2026,NA,NA,https://opswork.worldbank.org/home/P513144,Lending Product,PforR,GOV,Diop Saidou (ADM),IDA,NA,NA,Active,IBRD/IDA,MTI POV,Environmental and Social
P513145,Guinea Domestic Revenue Mobilization and Public Expenditure Management,"improve domestic revenue mobilization, public expenditure and debt management in Guinea.",Western and Central Africa,GIN,Republic of Guinea,2026,NA,NA,https://opswork.worldbank.org/home/P513145,Lending Product,IPF,GOV,Diop Saidou (ADM),IDA,NA,NA,Active,IBRD/IDA,MTI POV,Environmental and Social
P513735,Mali Emergency Access to Essential Services Project,To maintain continued access to essential health and education services in Mali.,Western and Central Africa,MLI,Republic of Mali,2026,NA,NA,https://opswork.worldbank.org/home/P513735,Lending Product,IPF,GOV,Hend Irhiam (ADM),IDA,NA,NA,Active,IBRD/IDA,EDU HNP MTI,Environmental and Social
P511758,The Second  Resilience Development Policy Operation,"The proposed series of two operations supports the Solomon Islands Government in its efforts to improve fiscal management, create the enabling environment for private sector development, and enhance resilience to climate change, natural disasters and health emergencies.",East Asia and Pacific,SLB,Solomon Islands,2026,NA,NA,https://opswork.worldbank.org/home/P511758,Lending Product,DPF,MTI,Marko Kwaramba (ADM),IDA,NA,NA,Active,IBRD/IDA,EAE FCI GOV URS,Environmental and Social
P179909,First Fiscal and Climate Transparency and Sustainability Development Policy Financing,"These programmatic DPFs support the Government of Honduras program of reforms to address the country?s fiscal and food security challenges by strengthening: (i) fiscal sustainability and resilience to shocks, and (ii)  food security and climate resilience.",Latin America and Caribbean,HND,Republic of Honduras,2025,NA,NA,https://opswork.worldbank.org/home/P179909,Lending Product,DPF,MTI,Gabriela Schmidt (ADM),IDA,100000000,NA,Active,IBRD/IDA,AGR ENV FCI POV,Environmental and Social
P506691,Strengthening Institutions for Transparency and Accountability (SITA),"To enhance transparency, reliability, and access to official statistics, increase tax compliance and improve efficiency and accountability of public spending",South Asia,BGD,People's Republic of Bangladesh,2025,NA,NA,https://opswork.worldbank.org/home/P506691,Lending Product,IPF,MTI,Souleymane Coulibaly (ADM),IDA,NA,NA,Active,IBRD/IDA,GOV POV,Environmental and Social
P511201,Bangladesh: Strengthening Governance and Institutional Resilience,The program development objective of the SGIR DPC is to strengthen governance and institutional resilience in the public and financial sectors.,South Asia,BGD,People's Republic of Bangladesh,2025,NA,NA,https://opswork.worldbank.org/home/P511201,Lending Product,DPF,MTI,Dhruv Sharma (ADM),IDA,NA,NA,Closed,IBRD/IDA,FCI GOV POV SPL,Environmental and Social
P167491,Bangladesh Strengthening PFM Program to Enable Service Delivery,"The Program Development Objective (PDO) is to improve fiscal forecasting, budget preparation and execution, financial reporting and transparency to enable better resource availability for service delivery in selected Ministries, Departments, and Agencies.",South Asia,BGD,People's Republic of Bangladesh,2019,NA,NA,https://opswork.worldbank.org/home/P167491,Lending Product,PforR,GOV,Suraiya Zannath (ADM),IDA,100000000,NA,Closed,IBRD/IDA,MTI,Environmental and Social
P509816,Bhutan First Growth and Jobs DPF,The program development objectives are to: (i) strengthen fiscal and debt management; (ii) foster private sector development; and (iii) enhance systems that protect workers and build resilience.,South Asia,BTN,Kingdom of Bhutan,2026,NA,NA,https://opswork.worldbank.org/home/P509816,Lending Product,DPF,MTI,Yumeka Hirano (ADM),IDA,NA,NA,Active,IBRD/IDA,NA,Environmental and Social
